"rep","n","probs","quants","tail","model","uwd1","uwd2","width_mu","width_sigma","width_n","cover90_mu","cover90_sigma","cover90_n"
6,500,2,9,0,"ind",0.0371911301946054,0.00130599487229424,0.131554,0.167735,NA,0,1,NA
6,500,2,9,0,"kern",0.032460511727012,0.00103143152639844,NA,NA,NA,NA,NA,NA
6,500,2,9,0,"spline",0.0377244845958437,0.00122683036813668,NA,NA,NA,NA,NA,NA
6,1000,1,3,0,"cltn",0.0140509726178079,0.000276250069384484,0.3870935,0.41708,NA,1,1,NA
6,1000,1,3,0,"ordn",0.0140509726178079,0.000276250069384484,0.39033,0.4288915,NA,1,1,NA
6,1000,1,3,0,"clt",0.0229021209761779,0.000463608016657459,0.5981235,0.6201145,2128.53395,1,1,1
6,1000,1,3,0,"ord",0.0274834212120551,0.000686097563061213,0.5817145,0.6572955,2013.69385,1,1,1
6,1000,1,3,0,"ind",0.0440080024110716,0.00225633612337769,2.225186,3.528597,NA,1,1,NA
6,1000,1,3,0,"kern",0.0225861105695684,0.00062369774061726,NA,NA,NA,NA,NA,NA
6,1000,1,3,0,"spline",0.113394768401849,0.0124578723316051,NA,NA,NA,NA,NA,NA
6,1000,2,9,0,"cltn",0.0255679470413777,0.000661207792500712,0.3885035,0.310655,NA,1,1,NA
6,1000,2,9,0,"ordn",0.0255679470413777,0.000661207792500712,0.3769135,0.305479,NA,1,1,NA
6,1000,2,9,0,"clt",0.0180706160418382,0.000284829822544107,0.346439,0.274874,2148.9348,1,1,1
6,1000,2,9,0,"ord",0.0157880458335064,0.000267241143486386,0.327245,0.265174,2229.61795,1,1,1
6,1000,2,9,0,"ind",0.00925197285295228,9.05440787033696e-05,0.132263,0.176803,NA,0,1,NA
6,1000,2,9,0,"kern",0.0188094637346534,0.000545783235633501,NA,NA,NA,NA,NA,NA
6,1000,2,9,0,"spline",0.0293224736937607,0.000731112655517089,NA,NA,NA,NA,NA,NA
7,50,1,3,0,"cltn",0.0949794943794386,0.0080959129734694,1.588858,1.659051,NA,1,1,NA
7,50,1,3,0,"ordn",0.0949794943794386,0.0080959129734694,1.632165,1.805451,NA,1,1,NA
7,50,1,3,0,"clt",0.0960407179969893,0.00891188879116638,0.772715,0.8960005,1086.16356,0,1,1
7,50,1,3,0,"ord",0.107716192323235,0.010946354731513,0.7146845,0.787044,1140.37407,0,1,0
7,50,1,3,0,"ind",0.0806104888632731,0.00794517017564817,2.198446,3.290773,NA,1,1,NA
7,50,1,3,0,"kern",0.110265975068665,0.0107114628842911,NA,NA,NA,NA,NA,NA
7,50,1,3,0,"spline",0.164645288749351,0.029113419184436,NA,NA,NA,NA,NA,NA
7,50,2,9,0,"cltn",0.0860023602521532,0.00726170389931532,1.507149,1.060459,NA,1,1,NA
